DESC_TH,DESC_EN,วันที่งบการเงิน,31/12/2024,31/12/2023,31/12/2022,31/12/2021,31/12/2020
,,ผู้ตรวจสอบบัญชี,วีรติ นิรวิทย์,วีรติ นิรวิทย์,วีรติ นิรวิทย์,วีรติ นิรวิทย์,วีรติ นิรวิทย์
,,วันที่ส่งงบการเงิน,31/05/2025,31/05/2024,30/05/2023,31/05/2022,29/06/2021
รายได้จากการขายและบริการ - สุทธิ,Net Sales,,34621474.59,31712108.16,31325089.09,26476100.07,28452559.77
รวมรายได้อื่น,Total other income,,60317.64,0.97,0.46,4181.22,
รายได้รวม,Total revenue,,34681792.23,31712109.13,31325089.55,26480281.29,28452559.77
ต้นทุนขาย และ/หรือบริการ,Cost of sales /services,,23984155.48,21952043.96,21622702.84,17563151.43,19539344.78
กำไร (ขาดทุน) ขั้นต้น,Gross profit (loss),,10637319.11,9760064.20,9702386.25,8912948.64,8913214.99
รวมค่าใช้จ่ายในการดำเนินงาน,Total operating expenses,,7870568.40,7621293.46,6936522.90,6557973.74,6123443.24
กำไร (ขาดทุน) จากการดำเนินงาน,Operating income (loss),,2766750.71,2138770.74,2765863.35,2354974.90,2789771.75
ค่าใช้จ่ายอื่น,Other expenses,,0.00,0.00,0.00,0.00,0.00
กำไร (ขาดทุน) ก่อนค่าเสื่อมราคาและค่าใช้จ่ายตัดจ่าย,Income (loss) before depreciation and amortization,,2827068.35,2138771.71,2765863.81,2359156.12,2789771.75
กำไร (ขาดทุน) ก่อนดอกเบี้ยและภาษีเงินได้,Income (loss) before interest and income taxes,,2827068.35,2138771.71,2765863.81,2359156.12,2789771.75
ดอกเบี้ยจ่าย,Interest expenses,,,,,,
ภาษีเงินได้,Income taxes,,579410.98,435621.34,566212.83,484378.46,579407.52
รายการพิเศษ,Extraordinary items,,,,,,
รายการอื่น,Others,,,,,,
กำไร (ขาดทุน) สุทธิ,Net income (loss),,2247657.37,1703150.37,2199650.98,1874777.66,2210364.23
กำไร (ขาดทุน) ต่อหุ้น,Earnings (loss) per share,,,,,,
จำนวนหุ้นสามัญถัวเฉลี่ยถ่วงน้ำหนัก,Number of Weighted Average Ordinary Shares,,,,,,
